,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2020-02-18,590.1686833109707,590.1686833109868,-1.6143530956469476e-11
2020-02-19,1401.6371864510584,1401.6371864510202,3.8198777474462986e-11
2020-02-20,-731.0366135856602,-731.0366135856608,5.684341886080801e-13
2020-02-21,-1298.4180946358538,-1298.4180946357994,-5.434230843093246e-11
2020-02-24,-4581.822752683831,-4581.822752683837,6.366462912410498e-12
2020-02-25,-3269.5633563208685,-3269.563356320889,2.0463630789890885e-11
2020-02-26,39.218118222546764,39.218118222565565,-1.880096078821225e-11
2020-02-27,-4882.923231585475,-4882.923231585506,3.092281986027956e-11
2020-02-28,65.53781199734658,65.53781199738546,-3.888089850079268e-11
2020-03-02,10953.380128022516,5428.970736243725,5524.409391778791
2020-03-03,-3376.2787567007763,-3376.278756700796,1.9554136088117957e-11
2020-03-04,4656.714392025751,4656.71439202575,9.094947017729282e-13
2020-03-05,-3187.3920138496323,-3187.3920138496796,4.729372449219227e-11
2020-03-06,-1687.9371418681112,-1687.9371418680694,-4.18367562815547e-11
2020-03-09,-6978.41430739942,-6978.414307399413,-7.275957614183426e-12
2020-03-10,4771.736123726761,4771.736123726737,2.4556356947869062e-11
2020-03-11,-4105.04678216629,-4105.046782166237,-5.275069270282984e-11
2020-03-12,-8717.210375316732,-8717.210375316796,6.366462912410498e-11
2020-03-13,7956.810682931682,7956.81068293175,-6.821210263296962e-11
2020-03-16,-11261.446007375256,-11261.44600737529,3.456079866737127e-11
2020-03-17,4835.864789047948,4835.864789047936,1.1823431123048067e-11
2020-03-18,-4147.8424217625,-4147.842421762457,-4.274625098332763e-11
2020-03-19,1169.1206873668125,1169.120687366801,1.1596057447604835e-11
2020-03-20,-3441.4831511473167,-3441.483151147332,1.546140993013978e-11
2020-03-23,-1691.1754427651758,-1691.1754427651724,-3.410605131648481e-12
2020-03-24,6652.797365832463,6652.797365832464,-9.094947017729282e-13
2020-03-25,650.2560603283055,650.2560603282972,8.29913915367797e-12
2020-03-26,4815.393158813007,4815.393158813036,-2.9103830456733704e-11
2020-03-27,-2930.287139170803,-2930.2871391708136,1.0459189070388675e-11
2020-03-30,3142.6026275279582,3142.6026275279373,2.091837814077735e-11
2020-03-31,-714.6773400349193,-714.6773400349402,2.091837814077735e-11
2020-04-01,4158.092003857979,-3920.8322518545524,8078.924255712531
2020-04-02,2428.2353682613757,2428.235368261361,1.4551915228366852e-11
2020-04-03,-1516.8993544274417,-1516.8993544274279,-1.3869794202037156e-11
2020-04-06,6196.139313872583,6196.1393138725825,9.094947017729282e-13
2020-04-07,-329.8972521763062,-329.8972521763262,2.000888343900442e-11
2020-04-08,3135.2847844529897,3135.284784452977,1.2732925824820995e-11
2020-04-09,234.37263474339852,234.37263474341356,-1.503508428868372e-11
2020-04-10,0.0,0.0,0.0
2020-04-13,1041.1373205596465,1041.1373205596462,2.2737367544323206e-13
2020-04-14,3843.9528571750852,3843.952857175128,-4.274625098332763e-11
2020-04-15,-998.5497017323505,-998.5497017323779,2.7398527890909463e-11
2020-04-16,1081.2764330091013,1081.2764330090904,1.0913936421275139e-11
2020-04-17,1814.1595254614367,1814.159525461444,-7.275957614183426e-12
2020-04-20,-1703.9571326875594,-1703.9571326875553,-4.092726157978177e-12
2020-04-21,-3624.987533564883,-3624.9875335649017,1.864464138634503e-11
2020-04-22,3018.4620571837295,3018.462057183714,1.546140993013978e-11
2020-04-23,367.5767395394505,367.57673953947864,-2.8137492336099967e-11
2020-04-24,1436.1458683382953,1436.1458683382975,-2.2737367544323206e-12
2020-04-27,1163.7298379684216,1163.7298379684423,-2.0691004465334117e-11
2020-04-28,-1835.9172120427247,-1835.9172120427497,2.5011104298755527e-11
2020-04-29,3393.917166632862,3393.9171666328702,-8.185452315956354e-12
2020-04-30,-163.42733955543372,-163.42733955541908,-1.4637180356658064e-11
2020-05-01,-17911.49250836583,-2771.5703792087133,-15139.922129157118
2020-05-04,1077.0813625212759,1077.0813625212782,-2.2737367544323206e-12
2020-05-05,1015.3120287577913,1015.3120287577764,1.48929757415317e-11
2020-05-06,-107.28968277736567,-107.28968277736229,-3.382183422218077e-12
2020-05-07,416.95344561964157,416.95344561963384,7.73070496506989e-12
2020-05-08,1510.7537128124968,1510.75371281253,-3.319655661471188e-11
2020-05-11,654.9460015285877,654.9460015285854,2.2737367544323206e-12
2020-05-12,-1619.2361056844238,-1619.2361056844102,-1.3642420526593924e-11
2020-05-13,-1391.9041871298105,-1391.9041871298432,3.2741809263825417e-11
2020-05-14,1279.5747004672885,1279.5747004673233,-3.4788172342814505e-11
2020-05-15,702.1823316164082,702.1823316163515,5.67297320230864e-11
2020-05-18,2153.4446224090643,2153.444622409105,-4.0472514228895307e-11
2020-05-19,-688.4248397218762,-688.4248397218984,2.2168933355715126e-11
2020-05-20,1470.2767987117695,1470.2767987117697,-2.2737367544323206e-13
2020-05-21,-878.2020987764408,-878.202098776457,1.6143530956469476e-11
2020-05-22,98.47154691291507,98.4715469129574,-4.231992534187157e-11
2020-05-25,0.0,0.0,0.0
2020-05-26,323.2557201948366,323.2557201948222,1.4438228390645236e-11
2020-05-27,506.2582275858149,506.2582275857866,2.830802259268239e-11
2020-05-28,-155.21705743460916,-155.21705743458145,-2.7711166694643907e-11
