,Yearly PnL (Portfolio Value Diff),Yearly PnL (Market-based),Yearly PnL (Summe Tages-PnL),Rebalancing Impact
2020-12-31,105997.50278509856,105997.5027850984,105997.5027850984,1.6007106751203537e-10
2021-12-31,83581.06896217854,83581.06896217792,83581.0689621779,6.257323548197746e-10
2022-12-31,5625.627336352132,5625.627336352053,5625.627336352052,7.912603905424476e-11
2023-12-31,72328.22942863125,72328.22942863111,72328.22942863112,1.4551915228366852e-10
2024-12-31,178459.46369617648,178459.46369617662,178459.46369617662,-1.4551915228366852e-10
2025-12-31,12340.547615167336,12340.547615167274,12340.54761516726,6.184563972055912e-11
