,Yearly PnL (Portfolio Value),Yearly PnL (Summe Tages-PnL),Yearly PnL (True Portfolio-PnL)
2020-12-31,104668.67790353144,40911.867371724285,104668.67790353144
2021-12-31,-1009.3732607291895,32353.97689802678,-1009.3732607291895
2022-12-31,-12770.478791697067,-15855.757669584065,-12770.478791697067
2023-12-31,8802.177935560729,41465.071471321506,8802.177935560729
2024-12-31,-3465.341433619731,34235.52143201575,-3465.341433619731
2025-12-31,2987.1441903410887,2627.530096803602,2987.1441903410887
